date,product_name,fabric_type,quantity,unit_price,category
2025-01-05,Silk Saree Traditional,Silk,25,4500,Ethnic Wear
2025-01-05,Cotton Kurti Set,Cotton,50,1200,Ethnic Wear
2025-01-06,Polyester Shirt,Polyester,100,800,Formal Wear
2025-01-06,Linen Trousers,Linen,30,2500,Formal Wear
2025-01-07,Silk Blouse,Silk,40,1800,Ethnic Wear
2025-01-07,Cotton Bed Sheet Set,Cotton,20,3500,Home Textiles
2025-01-08,Denim Jeans,Denim,60,2200,Casual Wear
2025-01-08,Velvet Cushion Cover,Velvet,45,600,Home Textiles
2025-01-09,Wool Sweater,Wool,35,2800,Winter Wear
2025-01-09,Chiffon Scarf,Chiffon,80,450,Accessories
2025-01-10,Rayon Maxi Dress,Rayon,55,1500,Casual Wear
2025-01-10,Nylon Sports T-Shirt,Nylon,90,700,Sports Wear
2025-01-11,Silk Evening Gown,Silk,15,8500,Formal Wear
2025-01-11,Cotton T-Shirt,Cotton,120,500,Casual Wear
2025-01-12,Polyester Uniform Fabric,Polyester,200,300,Industrial
2025-01-12,Linen Summer Shirt,Linen,40,1800,Casual Wear
2025-01-13,Georgette Party Dress,Georgette,25,3200,Formal Wear
2025-01-13,Cashmere Shawl,Cashmere,10,6500,Accessories
2025-01-14,Denim Jacket,Denim,30,4500,Casual Wear
2025-01-14,Cotton Pillowcase Set,Cotton,60,800,Home Textiles
2025-01-15,Silk Dupatta,Silk,70,1200,Accessories
2025-01-15,Polyester Office Shirt,Polyester,85,900,Formal Wear
2025-01-16,Wool Blazer,Wool,20,5500,Formal Wear
2025-01-16,Velvet Curtain Panel,Velvet,25,2800,Home Textiles
2025-01-17,Cotton Night Suit,Cotton,45,1100,Sleepwear
2025-01-17,Nylon Running Shorts,Nylon,75,650,Sports Wear
2025-01-18,Silk Kimono,Silk,12,4200,Ethnic Wear
2025-01-18,Linen Palazzo Pants,Linen,50,1600,Ethnic Wear
2025-01-19,Rayon Summer Dress,Rayon,65,1400,Casual Wear
2025-01-19,Denim Skirt,Denim,40,1800,Casual Wear
2025-01-20,Chiffon Blouse,Chiffon,55,1100,Ethnic Wear
2025-01-20,Cotton Towel Set,Cotton,100,450,Home Textiles
2025-01-21,Polyester Track Suit,Polyester,40,2200,Sports Wear
2025-01-21,Silk Scarf Premium,Silk,30,2500,Accessories
2025-01-22,Wool Cardigan,Wool,25,3500,Winter Wear
2025-01-22,Georgette Saree,Georgette,20,3800,Ethnic Wear
2025-01-23,Cashmere Sweater,Cashmere,8,7200,Winter Wear
2025-01-23,Cotton Kurta,Cotton,90,950,Ethnic Wear
2025-01-24,Velvet Bedspread,Velvet,15,4500,Home Textiles
2025-01-24,Nylon Gym Leggings,Nylon,70,800,Sports Wear
2025-01-25,Silk Nightwear Set,Silk,20,2800,Sleepwear
2025-01-25,Linen Blazer,Linen,18,4800,Formal Wear
2025-01-26,Denim Casual Pants,Denim,55,1900,Casual Wear
2025-01-26,Polyester Dress Fabric,Polyester,150,400,Industrial
2025-01-27,Cotton Kids T-Shirt,Cotton,130,350,Casual Wear
2025-01-27,Chiffon Evening Dress,Chiffon,22,4200,Formal Wear
2025-01-28,Rayon Palazzo Set,Rayon,48,1700,Ethnic Wear
2025-01-28,Wool Winter Coat,Wool,15,8500,Winter Wear
2025-01-29,Silk Designer Saree,Silk,10,12000,Ethnic Wear
2025-01-29,Cotton Bedsheet Queen,Cotton,35,2800,Home Textiles
2025-01-30,Nylon Windbreaker,Nylon,45,1800,Sports Wear
2025-01-30,Velvet Throw Pillow,Velvet,60,550,Home Textiles
2025-02-01,Polyester Corporate Shirt,Polyester,95,850,Formal Wear
2025-02-01,Linen Summer Shorts,Linen,65,1200,Casual Wear
2025-02-02,Denim Jacket Classic,Denim,35,3800,Casual Wear
2025-02-02,Cotton Yoga Pants,Cotton,80,900,Sports Wear
